00501,Holtsville,NY,SUFFOLK
00544,Holtsville,NY,SUFFOLK
01001,Agawam,MA,HAMPDEN
01002,Amherst,MA,HAMPSHIRE
01003,Amherst,MA,HAMPSHIRE
01004,Amherst,MA,HAMPSHIRE
01005,Barre,MA,WORCESTER
01007,Belchertown,MA,HAMPSHIRE
01008,Blandford,MA,HAMPDEN
01009,Bondsville,MA,HAMPDEN
01010,Brimfield,MA,HAMPDEN
01011,Chester,MA,HAMPDEN
01012,Chesterfield,MA,HAMPSHIRE
01013,Chicopee,MA,HAMPDEN
01014,Chicopee,MA,HAMPDEN
01020,Chicopee,MA,HAMPDEN
01021,Chicopee,MA,HAMPDEN
01022,Chicopee,MA,HAMPDEN
01026,Cummington,MA,HAMPSHIRE
01027,Easthampton,MA,HAMPSHIRE
01028,East Longmeadow,MA,HAMPDEN
01029,East Otis,MA,BERKSHIRE
01030,Feeding Hills,MA,HAMPDEN
01031,Gilbertville,MA,WORCESTER
01032,Goshen,MA,HAMPSHIRE
01033,Granby,MA,HAMPSHIRE
01034,Granville,MA,HAMPDEN
01035,Hadley,MA,HAMPSHIRE
01036,Hampden,MA,HAMPDEN
01037,Hardwick,MA,WORCESTER
01038,Hatfield,MA,HAMPSHIRE
01039,Haydenville,MA,HAMPSHIRE
01040,Holyoke,MA,HAMPDEN
01041,Holyoke,MA,HAMPDEN
01050,Huntington,MA,HAMPSHIRE
01053,Leeds,MA,HAMPSHIRE
01054,Leverett,MA,FRANKLIN
01056,Ludlow,MA,HAMPDEN
01057,Monson,MA,HAMPDEN
01059,North Amherst,MA,HAMPSHIRE
01060,Northampton,MA,HAMPSHIRE
01061,Northampton,MA,HAMPSHIRE
01062,Florence,MA,HAMPSHIRE
01063,Northampton,MA,HAMPSHIRE
01066,North Hatfield,MA,HAMPSHIRE
01068,Oakham,MA,WORCESTER
01069,Palmer,MA,HAMPDEN
01070,Plainfield,MA,HAMPSHIRE
01071,Russell,MA,HAMPDEN
01072,Shutesbury,MA,FRANKLIN
01073,Southampton,MA,HAMPSHIRE
01074,South Barre,MA,WORCESTER
01075,South Hadley,MA,HAMPSHIRE
01077,Southwick,MA,HAMPDEN
01079,Thorndike,MA,HAMPDEN
01080,Three Rivers,MA,HAMPDEN
01081,Wales,MA,HAMPDEN
01082,Ware,MA,HAMPSHIRE
01083,Warren,MA,WORCESTER
01084,West Chesterfield,MA,HAMPSHIRE
01085,Westfield,MA,HAMPDEN
01086,Westfield,MA,HAMPDEN
01088,West Hatfield,MA,HAMPSHIRE
01089,West Springfield,MA,HAMPDEN
01090,West Springfield,MA,HAMPDEN
01092,West Warren,MA,WORCESTER
01093,Whately,MA,FRANKLIN
01094,Wheelwright,MA,WORCESTER
01095,Wilbraham,MA,HAMPDEN
01096,Williamsburg,MA,HAMPSHIRE
01097,Woronoco,MA,HAMPDEN
01098,Worthington,MA,HAMPSHIRE
01101,Springfield,MA,HAMPDEN
01102,Springfield,MA,HAMPDEN
01103,Springfield,MA,HAMPDEN
01104,Springfield,MA,HAMPDEN
01105,Springfield,MA,HAMPDEN
01106,Longmeadow,MA,HAMPDEN
01107,Springfield,MA,HAMPDEN
01108,Springfield,MA,HAMPDEN
01109,Springfield,MA,HAMPDEN
01111,Springfield,MA,HAMPDEN
01114,Springfield,MA,HAMPDEN
01115,Springfield,MA,HAMPDEN
01116,Longmeadow,MA,HAMPDEN
01118,Springfield,MA,HAMPDEN
01119,Springfield,MA,HAMPDEN
01128,Springfield,MA,HAMPDEN
01129,Springfield,MA,HAMPDEN
01133,Springfield,MA,HAMPDEN
01138,Springfield,MA,HAMPDEN
01139,Springfield,MA,HAMPDEN
01144,Springfield,MA,HAMPDEN
01151,Indian Orchard,MA,HAMPDEN
01152,Springfield,MA,HAMPDEN
01195,Springfield Bmc,MA,HAMPDEN
01199,Springfield,MA,HAMPDEN
01201,Pittsfield,MA,BERKSHIRE
01202,Pittsfield,MA,BERKSHIRE
01203,Pittsfield,MA,BERKSHIRE
01220,Adams,MA,BERKSHIRE
01222,Ashley Falls,MA,BERKSHIRE
01223,Becket,MA,BERKSHIRE
01224,Berkshire,MA,BERKSHIRE
01225,Cheshire,MA,BERKSHIRE
01226,Dalton,MA,BERKSHIRE
01227,Dalton,MA,BERKSHIRE
01229,Glendale,MA,BERKSHIRE
01230,Great Barrington,MA,BERKSHIRE
01235,Hinsdale,MA,BERKSHIRE
01236,Housatonic,MA,BERKSHIRE
01237,Lanesboro,MA,BERKSHIRE
01238,Lee,MA,BERKSHIRE
01240,Lenox,MA,BERKSHIRE
01242,Lenox Dale,MA,BERKSHIRE
01243,Middlefield,MA,HAMPSHIRE
01244,Mill River,MA,BERKSHIRE
01245,Monterey,MA,BERKSHIRE
01247,North Adams,MA,BERKSHIRE
01252,North Egremont,MA,BERKSHIRE
01253,Otis,MA,BERKSHIRE
01254,Richmond,MA,BERKSHIRE
01255,Sandisfield,MA,BERKSHIRE
01256,Savoy,MA,BERKSHIRE
01257,Sheffield,MA,BERKSHIRE
01258,South Egremont,MA,BERKSHIRE
01259,Southfield,MA,BERKSHIRE
01260,South Lee,MA,BERKSHIRE
01262,Stockbridge,MA,BERKSHIRE
01263,Stockbridge,MA,BERKSHIRE
01264,Tyringham,MA,BERKSHIRE
01266,West Stockbridge,MA,BERKSHIRE
01267,Williamstown,MA,BERKSHIRE
01270,Windsor,MA,BERKSHIRE
01301,Greenfield,MA,FRANKLIN
01302,Greenfield,MA,FRANKLIN
01330,Ashfield,MA,FRANKLIN
01331,Athol,MA,WORCESTER
01337,Bernardston,MA,FRANKLIN
01338,Buckland,MA,FRANKLIN
01339,Charlemont,MA,FRANKLIN
01340,Colrain,MA,FRANKLIN
01341,Conway,MA,FRANKLIN
01342,Deerfield,MA,FRANKLIN
01343,Drury,MA,BERKSHIRE
01344,Erving,MA,FRANKLIN
01346,Heath,MA,FRANKLIN
01347,Lake Pleasant,MA,FRANKLIN
01349,Turners Falls,MA,FRANKLIN
01350,Monroe Bridge,MA,FRANKLIN
01351,Montague,MA,FRANKLIN
01354,Northfield,MA,FRANKLIN
01355,New Salem,MA,FRANKLIN
01360,Northfield,MA,FRANKLIN
01364,Orange,MA,FRANKLIN
01366,Petersham,MA,WORCESTER
01367,Rowe,MA,FRANKLIN
01368,Royalston,MA,WORCESTER
01369,Shattuckville,MA,FRANKLIN
01370,Shelburne Falls,MA,FRANKLIN
01373,South Deerfield,MA,FRANKLIN
01375,Sunderland,MA,FRANKLIN
01376,Turners Falls,MA,FRANKLIN
01378,Warwick,MA,FRANKLIN
01379,Wendell,MA,FRANKLIN
01380,Wendell Depot,MA,FRANKLIN
01420,Fitchburg,MA,WORCESTER
01430,Ashburnham,MA,WORCESTER
01431,Ashby,MA,MIDDLESEX
01432,Ayer,MA,MIDDLESEX
01434,Devens,MA,MIDDLESEX
01436,Baldwinville,MA,WORCESTER
01438,East Templeton,MA,WORCESTER
01440,Gardner,MA,WORCESTER
01441,Westminster,MA,WORCESTER
01450,Groton,MA,MIDDLESEX
